Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
107,2025-05-15,705,GILB,Global IME Laghubitta Bittiya Sanstha Ltd.,1233,1233,1212,1218.39,1732,2106355,1220.87,1815,1118.2,2025-05-15T14:59:20.70323,1214,32,1216.14,7540.62
108,2025-05-15,706,SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,703,705,696.1,696.27,2110,1474725.4,699.6,1214.8,682.1,2025-05-15T14:59:37.397006,696.1,43,698.92,7702.74
109,2025-05-15,2744,GRDBL,Green Development Bank Ltd.,1102,1102,1020.1,1037.12,35925,37999286.2,1103.11,2001.4,417,2025-05-15T14:59:57.761834,1039,213,1057.73,5908.46
110,2025-05-15,2754,DHPL,Dibyashwori Hydropower Ltd.,357,392,353.6,355.05,95463,35871715.5,362.7,427.2,185.3,2025-05-15T14:59:42.815807,355,281,375.76,937.33
111,2025-05-15,2757,AKPL,Arun Kabeli Power Ltd.,247.2,247.2,240,244.15,192900,46964520.2,242.4,326,157.2,2025-05-15T14:59:58.304951,245,646,243.46,9511.94
112,2025-05-15,2759,SPDL,Synergy Power Development Ltd.,370,383.5,364,367.46,221206,82294497.1,375.43,419.9,227.8,2025-05-15T14:59:59.622993,366.9,647,372.02,4445.76
113,2025-05-15,2742,HIDCL,Hydorelectricity Investment and Development Company Ltd,288,291,285,288.79,311585,89584618.9,285.83,360,158.1,2025-05-15T14:59:56.335017,288.5,854,287.51,70926.29
114,2025-05-15,2743,NGPL,Ngadi Group Power Ltd.,374,375.7,366.2,367.63,874840,323642515,368.62,571,250,2025-05-15T14:59:58.419122,367,2101,369.94,13611.72
115,2025-05-15,2746,NMFBS,National Laghubitta Bittiya Sanstha Limited,1201,1218,1201,1211.11,1374,1663204,1218.45,1727,1161,2025-05-15T14:59:33.959985,1212.1,26,1210.48,16127.25
116,2025-05-15,2748,RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,644,652.7,641.2,650.66,7731,5024022.8,644.97,890,639,2025-05-15T14:59:29.862115,652,84,649.85,6728.24
117,2025-05-15,2751,KKHC,Khanikhola Hydropower Co. Ltd.,345,350,341,343.48,19588,6749368.5,349.98,475,213,2025-05-15T14:59:50.029319,342,129,344.56,1599.64
118,2025-05-15,2758,FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,1075,1075,1065,1072.05,2329,2489707.6,1075,1739,1059.3,2025-05-15T14:58:59.3781,1073,60,1069,12821.22
119,2025-05-15,2761,SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,751,760,745,751.59,2111,1588160.2,751,1271,735,2025-05-15T14:59:17.911537,755,78,752.32,4727.89
120,2025-05-15,2766,CHL,Chhyangdi Hydropower Ltd.,480,484.9,475,478.22,171412,82172300.5,475.96,599.7,300.9,2025-05-15T14:59:59.437954,479.9,1060,479.38,1850.6
121,2025-05-15,2770,SEF,Siddhartha Equity Fund,9.89,9.89,9.6,9.7,19400,188234,9.7,10.49,7.8,2025-05-15T14:25:46.758443,9.7,6,9.7,1455
122,2025-05-15,2771,SMB,Support Microfinance Bittiya Sanstha Ltd.,2285.28,2300,2275,2289.55,1346,3079862.6,2285.28,4026.2,1502,2025-05-15T14:59:53.744497,2286,50,2288.15,2803.41
123,2025-05-15,2774,USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,1889,1906.9,1840,1860.91,4070,7633308.3,1927.31,2363.3,1320,2025-05-15T14:59:57.843943,1864,72,1875.5,4593.95
124,2025-05-15,2776,RADHI,Radhi Bidyut Company Ltd,729,734,708,716.86,613029,441702921.4,714.8,769,227,2025-05-15T14:59:58.378806,715.4,1865,720.52,13182.91
125,2025-05-15,2784,NADEP,Nadep Laghubittiya bittya Sanstha Ltd.,799,801.9,783.1,787.58,1060,839078,786.41,1190,744,2025-05-15T14:51:21.88492,801,27,791.58,3825.75
126,2025-05-15,2787,KPCL,Kalika power Company Ltd,534,534,519,521.9,9602,5008089.4,524.15,652.4,399,2025-05-15T14:54:20.159623,524,57,521.56,4874.28
127,2025-05-15,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,202.5,208,202.5,205.45,185187,38068347.2,206.59,274.9,150.9,2025-05-15T14:59:57.173169,206,591,205.56,4109
128,2025-05-15,2789,JOSHI,Joshi Hydropower Development Company Ltd,436,444.4,397.1,404.95,221166,92084168.5,435.73,521.6,265,2025-05-15T14:59:59.481661,397.1,1164,416.35,1503.98
129,2025-05-15,2790,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,1014.1,1046.2,1013,1016.72,2629,2683495.2,1025.71,1491,866,2025-05-15T14:58:47.401627,1015,38,1020.72,3732.82
130,2025-05-15,2806,GHL,Ghalemdi Hydro Limited,249,258,246.5,247.67,154007,38423976,254,318,141.6,2025-05-15T14:59:51.481477,249,499,249.49,4086.55
131,2025-05-15,2809,SHIVM,SHIVAM CEMENTS LTD,533,533,524,524.75,120169,63227129,526.65,779.9,470.5,2025-05-15T14:59:54.298617,526,476,526.15,28634.6
132,2025-05-15,2811,MHNL,Mountain Hydro Nepal Limited,260.1,265,260,261.76,23138,6045957.9,263.71,379,225,2025-05-15T14:59:59.786794,264,100,261.29,3272
133,2025-05-15,2813,PPCL,Panchthar Power Compant Limited,344,344,332.1,333.17,52290,17492814.6,337.6,367.2,221.6,2025-05-15T14:59:50.941574,334,140,334.53,3206.76
134,2025-05-15,2815,GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,1530.1,1532.1,1530.1,1530.32,1075,1646197.7,1536.51,2327,1161.2,2025-05-15T14:59:07.506592,1530.3,15,1531.34,2319.27
135,2025-05-15,2829,SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,1660,1692,1610,1625.42,1645,2704006.6,1630.51,2426.4,1254,2025-05-15T14:59:33.917877,1659.8,47,1643.77,2494.13
136,2025-05-15,2832,ILBS,Infinity Laghubitta Bittiya Sanstha Limited,825.2,849,825,826.11,1711,1419378.9,834.88,1492,822.3,2025-05-15T14:55:52.279005,827,56,829.56,4109.2
137,2025-05-15,2835,NBF2,NABIL BALANCED FUND-2,9.9,10.05,9.52,9.97,3460,34287,9.71,10.63,8,2025-05-15T13:59:40.002037,9.97,13,9.9,1116.64
138,2025-05-15,2841,RHPL,RASUWAGADHI HYDROPOWER COMPANY LIMITED,382,388,382,383.95,62088,23866727.2,384.48,527,260.3,2025-05-15T14:59:23.818474,383,236,384.4,26270.24
139,2025-05-15,2842,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,321,321,318,319.84,14854,4742976.1,320.23,442,256,2025-05-15T14:59:51.629247,320,108,319.3,11674.16
140,2025-05-15,2854,NBBD2085,10.25% NBBL Debenture 2085,1117,1117,1117,1117.4,2,2234.8,1117,1240,1051,2025-05-15T14:57:17.845014,1117,1,1117.4,2234.8
141,2025-05-15,2760,UMHL,United Modi Hydropower Ltd.,502,505,497.2,500.93,171783,86116755.6,501.74,517,227.4,2025-05-15T14:59:59.061871,502.4,467,501.31,6163.94
142,2025-05-15,2767,HPPL,Himalayan Power Partner Ltd.,501,511,497,499.71,94355,47425267.2,506.93,711,250,2025-05-15T14:59:54.023115,501,404,502.62,5324
143,2025-05-15,2768,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,1172.1,1196,1172.1,1180.6,1620,1914975,1194.7,1851,1130.2,2025-05-15T14:59:51.711116,1181,84,1182.08,4367.32
144,2025-05-15,2769,NHDL,Nepal Hydro Developers Ltd.,680,691,669,672.28,4945,3342252.8,677.17,1002.6,443.2,2025-05-15T14:59:00.113808,674.7,75,675.88,2609.77
145,2025-05-15,2781,WNLB,Wean Nepal Laghubitta Bittiya Sanstha Limited,2475,2545,2471,2479.37,1089,2707418.1,2508.47,4271,1320,2025-05-15T14:59:06.408094,2475,32,2486.15,2091.12
146,2025-05-15,2786,PMHPL,Panchakanya Mai Hydropower Ltd,300,300,292.1,295.31,22626,6666427.8,300.41,348.8,219.6,2025-05-15T14:59:46.172647,297.5,85,294.63,3248.41
147,2025-05-15,2792,UPPER,Upper Tamakoshi Hydropower Ltd,200,201,198.6,199.59,168695,33622369.7,199.9,295,152.1,2025-05-15T14:59:56.182151,200,729,199.3,42273.16
148,2025-05-15,2804,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,1451,1484.9,1422,1450.09,4322,6221073,1470.06,3047,804,2025-05-15T14:59:58.345212,1425.9,125,1439.39,2476.83
149,2025-05-15,2807,ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,800,806.9,784,787.42,5738,4540808.4,791.16,1177,771,2025-05-15T14:57:52.623202,800,111,791.35,5772.15
150,2025-05-15,2810,UPCL,UNIVERSAL POWER COMPANY LTD,413,427,411.9,415.72,799949,334598604.5,413.96,445,183,2025-05-15T14:59:58.053935,418.9,2082,418.27,9478.12
151,2025-05-15,2824,HURJA,Himalaya Urja Bikas Company Limited,253.1,259.9,253,255.37,225606,57745152,257.72,326.6,183.6,2025-05-15T14:59:59.063263,255.1,546,255.95,5056.33
152,2025-05-15,2826,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,2681,2698,2601,2665.51,1241,3268926.3,2680.58,3486,1560,2025-05-15T14:59:55.448737,2698,52,2634.1,3087.98
153,2025-05-15,2828,SAND2085,10% Sanima Bank Limited Debenture,1102.2,1102.2,1102.2,1102.2,25,27555,1105,1256.6,1028,2025-05-15T12:49:41.409269,1102.2,1,1102.2,2204.4
154,2025-05-15,2831,UNHPL,Union Hydropower Limited,327,339.5,327,328.88,70355,23205278.7,333.32,371,217.2,2025-05-15T14:59:58.732027,330,296,329.83,2466.6
155,2025-05-15,2859,SIGS2,Siddhartha Investment Growth Scheme - 2,10.29,10.29,10.29,10.29,2000,20580,10.48,10.48,7.94,2025-05-15T14:57:04.378575,10.29,1,10.29,1234.8
156,2025-05-15,2862,CMF2,CITIZENS MUTUAL FUND 2,9.39,9.42,9.39,9.42,300,2822,9.41,10.68,8,2025-05-15T12:49:09.968121,9.42,3,9.4,527.52
157,2025-05-15,2863,NICBF,NIC Asia Balanced Fund,9.04,9.04,9.04,9.04,200,1808,9.09,10.5,8.38,2025-05-15T14:05:07.117613,9.04,1,9.04,682.52
158,2025-05-15,2887,NICLBSL,NIC ASIA Laghubitta Bittiya Sanstha Limited,610,615,607,610.03,4976,3032649.8,612.21,907,606.3,2025-05-15T14:59:08.96415,613,100,609.45,10611.11
159,2025-05-15,2898,NRN,NRN Infrastructure and Development Limited,2050,2060,1982,1985.04,79630,159185565.1,2020.6,2159,494.1,2025-05-15T14:59:51.971249,1983,731,1999.06,25495.3
160,2025-05-15,2902,LUK,Laxmi Unnati Kosh,9.6,9.79,9.55,9.73,2350,22730,9.62,10.22,8.16,2025-05-15T14:59:51.726237,9.79,7,9.67,635
161,2025-05-15,2903,LEC,Liberty Energy Company Limited,218.9,218.9,211.1,213.8,172701,36816556.3,215.63,344,175.1,2025-05-15T14:59:50.454286,213.7,526,213.18,4810.5
162,2025-05-15,2904,PBLD84,10% Prabhu Bank Debenture 2084 ,1115.1,1115.1,1115.1,1115.1,100,111510,1120.73,1130,1022,2025-05-15T14:31:36.563478,1115.1,1,1115.1,2230.2
163,2025-05-15,2907,SSHL,Shiva Shree Hydropower Ltd,230.1,234.5,230.1,231.31,70663,16338487.1,230.97,281.1,157.5,2025-05-15T14:59:56.583746,231.9,284,231.21,3415.06
164,2025-05-15,2913,MEN,Mountain Energy Nepal Limited,570.8,570.8,562.8,563.2,29324,16540955.9,562.8,809.5,539,2025-05-15T14:59:59.624,562.8,192,564.07,14658.5
165,2025-05-15,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,540.09,551,540.09,542.39,5742,3122591.5,544.29,732.2,477.1,2025-05-15T14:59:40.009986,543,162,543.81,25631.18
166,2025-05-15,2917,CGH,Chandragiri Hills Limited,858,874,850,862.54,18776,16203533.8,857.83,1360,785,2025-05-15T14:59:35.872493,863.3,266,862.99,13232.15
167,2025-05-15,2919,NIFRA,Nepal Infrastructure Bank Limited,270.4,279,270.4,276.37,159452,44016447.6,275.87,366.6,188.1,2025-05-15T14:59:58.347891,276.8,780,276.04,59695.92
168,2025-05-15,2923,SLCF,Sanima Large Cap Fund,9.61,9.8,9.61,9.8,9300,90242.5,9.64,10.6,7.84,2025-05-15T14:57:33.218167,9.8,16,9.7,1176
169,2025-05-15,2860,SAPDBL,Saptakoshi Development Bank Ltd,780,795.6,750,753.37,42931,32834992.6,795.24,1622.7,315.2,2025-05-15T14:59:59.083873,751.4,368,764.83,6285.66
170,2025-05-15,2866,MBLD2085,10.25% Machhapuchhre Bank Debenture 2085,1130,1130,1130,1130,25,28250,1125.9,1206.8,1030.2,2025-05-15T12:47:59.741568,1130,1,1130,3390
171,2025-05-15,2867,NMB50,NMB 50,10.6,10.81,10.6,10.81,265,2840.5,10.79,12.54,8.95,2025-05-15T14:33:08.262675,10.81,2,10.71,1351.25
172,2025-05-15,2877,SFMF,Sunrise First Mutual Fund,10.22,10.71,10.22,10.71,4075,42907.5,10.34,11.99,9.22,2025-05-15T13:53:35.881669,10.71,6,10.52,921.06
173,2025-05-15,2880,HDHPC,Himal Dolakha Hydropower Company Limited,198.6,204,198.6,202.17,286724,57610440.1,202.58,273,123.3,2025-05-15T14:59:58.390259,204,710,200.92,5660.76
174,2025-05-15,2881,NRIC,Nepal Reinsurance Company Limited,1220,1225,1185.1,1195.15,75509,90832708.6,1222.19,1389.9,630.1,2025-05-15T14:59:59.492999,1188,521,1202.93,160415.27
175,2025-05-15,2882,ICFCD83,12% ICFC Finance Limited Debenture 2083,1190,1190,1190,1190,200,238000,1208,1325,1165,2025-05-15T14:10:52.234313,1190,1,1190,238
176,2025-05-15,2883,GWFD83,12 % Goodwill Finance Limited Debenture 2083,1165.1,1165.1,1165.1,1167.9,3,3477.9,1165.1,1363.2,1140,2025-05-15T14:40:02.245749,1165.1,3,1159.3,291.98
177,2025-05-15,2890,SBIBD86,10% Nepal SBI Bank Debenture 2086,1117.3,1117.3,1117.2,1117.2,50,55862.5,1140,1160,1022.6,2025-05-15T12:08:19.198364,1117.2,2,1117.25,2272.26
178,2025-05-15,2896,SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,906,930,906,921.47,4093,3754253.2,921.39,1470.8,826,2025-05-15T14:59:55.939809,920.1,56,917.23,6458.2
179,2025-05-15,2908,SGIC,Sanima GIC Insurance Limited,572.3,572.3,551,554.2,11962,6658768.8,561.11,817.1,516,2025-05-15T14:59:32.948982,551,146,556.66,11915.3
180,2025-05-15,2909,SGICP,Sanima GIC Insurance Limited Promoter Share,323,323,323,323,320573,80143250,323,323,100,2025-05-15T14:21:34.499951,323,9,250,
181,2025-05-15,2914,UMRH,United IDI Mardi RB Hydropower Limited.,576,576,555,556.38,10655,5996853.4,564.74,790,350,2025-05-15T14:59:33.677268,564,104,562.82,2563.93
182,2025-05-15,2933,KEF,Kumari Equity Fund,8.86,9.1,8.86,9.1,3916,35250.6,9.03,10.76,7.91,2025-05-15T14:59:27.967246,9.1,10,9,910
183,2025-05-15,2935,RURU,Ru Ru Jalbidhyut Pariyojana Limited,688.1,705,688.1,693.42,8813,6135760.9,695.82,926.8,548,2025-05-15T14:59:17.690139,693,107,696.21,3933.93
184,2025-05-15,2937,SBCF,Sunrise Bluechip Fund,9.37,9.41,9.37,9.4,25365,238025.93,9.37,10.04,7.56,2025-05-15T14:59:25.067119,9.4,15,9.38,1175
185,2025-05-15,4947,PSF,Prabhu Select Fund,10.66,10.8,10.66,10.66,115215,1228986,10.64,11.1,8.36,2025-05-15T14:59:27.285531,10.66,27,10.66,1332.5
186,2025-05-15,4949,NIBSF2,NIBL Samriddhi Fund -2,8.06,8.21,8.06,8.19,22450,184131,8.2,9.6,7.53,2025-05-15T14:51:31.953396,8.19,12,8.2,1228.5
187,2025-05-15,4951,JBLB,Jeevan Bikas Laghubitta  Bittya Sanstha Ltd,1290,1301,1285.1,1297.33,4875,6319434.9,1291.54,1920,1270.7,2025-05-15T14:59:58.533784,1300,154,1296.29,19929.22
188,2025-05-15,4962,PBLD87,8.5% Prabhu Bank Debenture 2087,1061.1,1061.1,1061.1,1061.1,25,26527.5,1050.1,1080,960,2025-05-15T11:25:08.64054,1061.1,1,1061.1,2811.91
189,2025-05-15,4965,SAMAJ,Samaj Laghubittya Bittiya Sanstha Limited,2400,2470,2390,2420,152,367990,2432,4181,2000,2025-05-15T14:52:37.744896,2425,10,2420.98,552.97
190,2025-05-15,4969,MND84/85,Muktinath Debenture 2084/85,1067.7,1067.7,1067.7,1067.7,25,26692.5,1070,1100,950.9,2025-05-15T14:57:45.696326,1067.7,1,1067.7,1334.63
191,2025-05-15,5982,SRLI,Sanima Reliance Life Insurance Limited,403.3,405.9,401,401.93,45856,18478551.3,404.66,654,401,2025-05-15T14:59:39.122035,402.2,472,402.96,20156.48
192,2025-05-15,7985,MBLD87,8.5% Machhapuchchhre Debenture 2087,1070,1070,1070,1070,8,8560,1070,1081,931,2025-05-15T14:56:49.559273,1070,2,1070,2411.24
193,2025-05-15,8004,GBILD86/87,Global IME Bank Limited Debenture 2086/87,1051.1,1051.1,1051.1,1054.3,2,2108.6,1051.1,1095,935.5,2025-05-15T14:28:04.536432,1051.1,1,1054.3,3162.9
194,2025-05-15,8005,MKJC,Mailung Khola Jal Vidhyut Company Limited,516.09,516.09,506,507.56,11781,5990432.6,506.25,735,402,2025-05-15T14:59:32.60923,506.2,115,508.48,1910.05
195,2025-05-15,8021,SAHAS,Sahas Urja Limited,513,517.9,512,513.51,93657,48207860.5,512.34,725,409.5,2025-05-15T14:59:49.430155,513.9,603,514.72,19410.68
196,2025-05-15,8022,TPC,Terhathum Power Company Limited,575,590,570.1,580.92,69643,40761198,578.11,671.6,410,2025-05-15T14:59:50.955756,585,384,585.28,2323.68
197,2025-05-15,2924,GLH,GreenLife Hydropower Limited,258,264.8,256,262.79,96366,25034091.1,260.65,336,196,2025-05-15T14:59:54.252682,260.7,389,259.78,4730.22
198,2025-05-15,2925,MLBSL,Mahila Lagubitta Bittiya Sanstha Limited ,2166,2230,2165.5,2194.27,715,1560121,2197.76,2648.7,1803.5,2025-05-15T14:59:14.611111,2217,34,2181.98,4773.91
199,2025-05-15,2931,NIBD84,8.5% Nepal Investment Bank Debenture 2084,1062.8,1062.8,1062.8,1062.8,32,34009.6,1042,1077,943,2025-05-15T12:10:24.273801,1062.8,1,1062.8,4251.2
200,2025-05-15,2934,SHEL,Singati Hydro Energy Limited,269,269.9,263.7,266.63,195086,51966267.4,265.97,334.4,151.5,2025-05-15T14:59:59.320528,269,697,266.37,7732.27
201,2025-05-15,3946,CHDC,CEDB Holdings Limited,2547.7,2570,2518.1,2527.06,30896,78370780.8,2547.71,2730,716.1,2025-05-15T14:59:52.223124,2528,384,2536.59,26135.79
202,2025-05-15,4948,KSBBLD87,9% Kamana Sewa Bikas Bank Limited Debenture 2087,1110,1110,1110,1110,46,51060,1095.1,1110,980,2025-05-15T13:46:31.94127,1110,3,1110,1110
203,2025-05-15,4959,NBLD87,8.5% Nepal Bank Debenture 2087,1070.1,1070.1,1070.1,1070.1,25,26752.5,1065.2,1082.2,916,2025-05-15T13:45:44.001706,1070.1,1,1070.1,3745.35
204,2025-05-15,4963,NMBD87/88,NMB Debenture 8.50% - 2087/88,1060,1060,1060,1060,25,26500,1060,1103.6,930,2025-05-15T11:21:29.809151,1060,1,1060,2120
205,2025-05-15,4967,NICSF,NIC Asia Select Fund 30,9.08,9.1,9.05,9.08,1700,15423,9.23,11.45,8.31,2025-05-15T14:53:54.149282,9.08,10,9.07,1135
206,2025-05-15,4968,RMF1,RBB Mutual Fund 1,9.1,9.29,9.1,9.2,24600,227906,9.12,10.19,7.67,2025-05-15T14:53:37.974765,9.2,20,9.26,1150
207,2025-05-15,8018,MLBS,Manushi Laghubitta Bittiya Sanstha Limited,1626,1640,1617.1,1629.4,498,810816,1641.26,2530,1275,2025-05-15T14:56:43.303874,1630,17,1628.14,1782.16
208,2025-05-15,8020,JBBD87,Jyoti Bikash Bank Bond 2087,1100,1119,1100,1119,102,113950,1100,1119,965,2025-05-15T12:29:47.563592,1119,6,1117.15,1678.5
209,2025-05-15,8024,NBF3,Nabil Balanced Fund-3,9.74,9.93,9.36,9.59,27010,256655,9.55,10.45,7.08,2025-05-15T14:52:54.589058,9.68,53,9.5,1198.75
210,2025-05-15,8031,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,314.1,318,313.1,314.42,60818,19151900.1,315.64,433,284,2025-05-15T14:59:55.829598,314,440,314.9,18865.2
211,2025-05-15,8034,ENL,Emerging Nepal Limited,1097,1143,1097,1107.96,1436,1605539,1107.71,1453.5,810,2025-05-15T14:57:18.342349,1110,66,1118.06,6155.83
